Date,Normalized EBITDA,Reconciled Depreciation,EBITDA,EBIT,Interest Expense,Diluted Average Shares,Diluted EPS,Net Income,Tax Provision,Other Non Operating Income Expenses,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Sector,Gross_Profit_Margin,Operating_Margin,Net_Profit_Margin,EBITDA_Margin,Expense_Ratio,Effective_Tax_Rate,Revenue_Growth_QoQ,Net_Income_Growth_QoQ,Gross_Profit_Growth_QoQ
2024-09-30,59995400000.0,10585900000.0,59995400000.0,49409500000.0,8068700000.0,4058221681.0,8.21,33318000000.0,8365600000.0,7239600000.0,42169900000.0,18836500000.0,6545900000.0,61006400000.0,72382400000.0,133388800000.0,133388800000.0,ADANIPOWER.NS,Utilities,0.45735773918050093,0.31614273462239706,0.24978109106611648,0.44977839218884946,0.14121500455810382,0.20069283843046187,-0.10810310230996623,-0.14848484074023904,-0.11760383700815191
2024-12-31,61851800000.0,11700100000.0,61851800000.0,50151700000.0,9565300000.0,3985932203.0,7.67,30572100000.0,11185700000.0,11622600000.0,38529100000.0,21693100000.0,7878600000.0,60222200000.0,76489600000.0,136711800000.0,136711800000.0,ADANIPOWER.NS,Utilities,0.44050476988818815,0.28182717219727926,0.2236244420744954,0.45242473583114257,0.15867759769090892,0.2678709127396558,0.02491213655119462,-0.0824149108589951,-0.012854389047706416
2025-03-31,48436500000.0,10846500000.0,48436500000.0,37590000000.0,4977200000.0,3956341971.5,8.145,26369700000.0,6620500000.0,-21565800000.0,44861400000.0,1187400000.0,-10362000000.0,46048800000.0,95612500000.0,141661300000.0,141661300000.0,ADANIPOWER.NS,Utilities,0.3250626670798588,0.3166807024924944,0.1861461104761851,0.3419176585277701,0.008381964587364368,0.2006808082400228,0.03620389754212883,-0.13745866329103984,-0.23535174736226838
2025-06-30,61498300000.0,10885900000.0,61498300000.0,50612400000.0,8569300000.0,3926751740.0,8.62,33848600000.0,8991800000.0,4645500000.0,45966900000.0,20788700000.0,7685500000.0,66755600000.0,74335900000.0,141091500000.0,141091500000.0,ADANIPOWER.NS,Utilities,0.4731369359599976,0.3257949628432613,0.23990530967492726,0.4358753007799903,0.1473419731167363,0.20989066395271752,-0.0040222700201113515,0.28361718184128004,0.44967078403780336
2024-06-30,1296080000.0,192680000.0,1296080000.0,1103400000.0,37870000.0,140340357.0,6.17,865900000.0,199630000.0,251170000.0,852230000.0,1143020000.0,364010000.0,1995250000.0,3199780000.0,5195030000.0,5195030000.0,AFFLE.NS,IT Services,0.384069004413834,0.16404717585846473,0.1666785369863119,0.24948460355378121,0.22002182855536925,0.18735277279851342,0.0,0.0,0.0
2024-09-30,1421490000.0,250860000.0,1421490000.0,1170630000.0,35660000.0,140444275.0,6.55,919910000.0,215060000.0,288240000.0,882390000.0,1231650000.0,413630000.0,2114040000.0,3314780000.0,5428820000.0,5428820000.0,AFFLE.NS,IT Services,0.3894105901466617,0.16253808378247944,0.1694493462667762,0.2618414314712958,0.22687250636418227,0.18948518463043076,0.04500262751129447,0.062374408130269066,0.0595363989475004
2024-12-31,1522910000.0,257610000.0,1522910000.0,1265300000.0,27930000.0,140368347.0,7.14,1002230000.0,235140000.0,209140000.0,1056160000.0,1329920000.0,496380000.0,2386080000.0,3630640000.0,6016720000.0,6016720000.0,AFFLE.NS,IT Services,0.39657487800662156,0.17553750216064568,0.16657414671116488,0.2531129917961946,0.22103737584597588,0.19003208417853998,0.10829240976860532,0.08948701503407941,0.12868252256343315
2025-03-31,1496240000.0,265830000.0,1496240000.0,1230410000.0,-8090000.0,140517507.0,7.32,1030650000.0,207850000.0,-726700000.0,1101060000.0,1265420000.0,-838360000.0,2366480000.0,3647940000.0,6014420000.0,6014420000.0,AFFLE.NS,IT Services,0.3934676992960252,0.18307002171447953,0.17136315721216677,0.24877544301861193,0.21039767758154568,0.16782398062171983,-0.00038226807961816434,0.02835676441535373,-0.008214309662710417
2025-06-30,1568900000.0,258670000.0,1568900000.0,1310230000.0,18280000.0,140666667.0,7.5,1055000000.0,236950000.0,171700000.0,1138530000.0,1288400000.0,420920000.0,2426930000.0,3780470000.0,6207400000.0,6207400000.0,AFFLE.NS,IT Services,0.39097367657956633,0.18341495634243,0.16995843670457841,0.2527467216547991,0.2075587202371363,0.1834049305313673,0.03208621945258239,0.02362586717120263,0.025544268280315086
2024-06-30,3723153000.0,253645000.0,3723153000.0,3469508000.0,63814000.0,94325872.0,27.52,2595848000.0,811607000.0,820126000.0,2634975000.0,3423532000.0,2233830000.0,6058507000.0,3988871000.0,10047378000.0,10047378000.0,AIAENG.NS,Industrials,0.6029938358047244,0.2622549883163548,0.2583607384931671,0.3705596624313328,0.3407388474883696,0.23818568403691318,0.0,0.0,0.0
2024-09-30,3661855000.0,235751000.0,3661855000.0,3426104000.0,52651000.0,94070978.0,27.29,2567197000.0,809190000.0,901029000.0,2520847000.0,3489408000.0,2336467000.0,6010255000.0,4294802000.0,10305057000.0,10305057000.0,AIAENG.NS,Industrials,0.5832335522258635,0.24462232474793685,0.2491201164632083,0.3553454386521103,0.3386112274779266,0.23966150799656555,0.025646392521511574,-0.011037241009488996,-0.007964338408786187
2024-12-31,3545706000.0,261893000.0,3545706000.0,3283813000.0,9901000.0,93308531.0,27.78,2592111000.0,685044000.0,673158000.0,2568838000.0,3597396000.0,2364002000.0,6166234000.0,4334273000.0,10500507000.0,10500507000.0,AIAENG.NS,Industrials,0.5872320260345524,0.2446394255058351,0.24685579467734273,0.3376699810780565,0.3425926005287173,0.20903619145264718,0.0189664161974068,0.009704748018948273,0.025952143461467125
2025-03-31,3995240000.0,279450000.0,3995240000.0,3715790000.0,84547000.0,93308058.5,30.235,2852204000.0,777724000.0,-2382605000.0,2802798000.0,1255475000.0,-2110223000.0,4058273000.0,7465169000.0,11523442000.0,11523442000.0,AIAENG.NS,Industrials,0.35217541772675215,0.24322576535726045,0.24751319961518442,0.3467054374899444,0.10894965236949168,0.21425328546461528,0.0974176770702595,0.1003402246277263,-0.34185549883445876
2025-06-30,4203926000.0,276953000.0,4203926000.0,3926973000.0,71960000.0,93307586.0,32.69,3050225000.0,803335000.0,1083141000.0,2786750000.0,3551963000.0,2337749000.0,6338713000.0,3921419000.0,10260132000.0,10260132000.0,AIAENG.NS,Industrials,0.6178003362919697,0.2716095660367722,0.2972890602187184,0.4097341047853965,0.3461907702551975,0.20846567848950062,-0.10962957074804558,0.069427362138192,0.5619237542669011
2024-06-30,3568200000.0,339700000.0,3568200000.0,3228500000.0,7300000.0,125842294.0,19.53,2457700000.0,763500000.0,-2447300000.0,5593200000.0,3177500000.0,3023200000.0,8770700000.0,2678500000.0,11449200000.0,11449200000.0,AJANTPHARM.BO,Healthcare,0.7660535233902805,0.4885232155958495,0.21466128637808754,0.31165496279216015,0.27753030779443105,0.23702346951446665,0.0,0.0,0.0
2024-09-30,3306500000.0,343900000.0,3306500000.0,2962600000.0,60200000.0,125422943.0,17.26,2164800000.0,737600000.0,-3198300000.0,6296100000.0,2953500000.0,3023200000.0,9249600000.0,2616800000.0,11866400000.0,11866400000.0,AJANTPHARM.BO,Healthcare,0.7794781905211353,0.5305821479134363,0.1824310658666487,0.27864390211015977,0.24889604260769904,0.2541345093715546,0.036439227194913215,-0.11917646580135899,0.054602255236184005
2024-12-31,3512700000.0,359700000.0,3512700000.0,3153000000.0,79100000.0,125271651.0,18.59,2328800000.0,745100000.0,128500000.0,2848600000.0,6034600000.0,3023200000.0,8883200000.0,2578100000.0,11461300000.0,11461300000.0,AJANTPHARM.BO,Healthcare,0.7750604207201627,0.2485407414516678,0.20318812002128903,0.3064835577116034,0.5265196792684949,0.24239565372978952,-0.034138407604665244,0.07575757575757569,-0.03961252378481228
2025-03-31,3152600000.0,397800000.0,3152600000.0,2754800000.0,60700000.0,125127259.5,19.509999999999998,2252600000.0,441500000.0,-460400000.0,2843200000.0,4856900000.0,-2422500000.0,7700100000.0,3398100000.0,11098200000.0,11098200000.0,AJANTPHARM.BO,Healthcare,0.6938152132778288,0.2561856877691878,0.20296985096682346,0.284064082463823,0.43762952550864104,0.16387661927916558,-0.03168052489682671,-0.032720714531088935,-0.13318398775216134
2025-06-30,3776800000.0,412900000.0,3776800000.0,3363900000.0,52600000.0,124982868.0,20.43,2553400000.0,757900000.0,-3304200000.0,6825800000.0,3441900000.0,-2422500000.0,10267700000.0,2758800000.0,13026500000.0,13026500000.0,AJANTPHARM.BO,Healthcare,0.7882163282539438,0.5239933980731586,0.19601581391778297,0.2899320615668061,0.2642229301807853,0.22888291607525746,0.17374889621740452,0.13353458226049897,0.33345021493227356
